estrutura,tamanho_entrada,operacao,tempo_ms,comparacoes,altura_arvore
Trie,1000,inserir,28.1604,39976,52
Trie,1000,buscar,6.90539,39976,52
Trie,1000,remover,17.8879,40976,0
Trie,10000,inserir,287.178,396880,60
Trie,10000,buscar,5.16631,39976,60
Trie,10000,remover,11.3694,40976,60
Trie,100000,inserir,3166.03,3928901,60
Trie,100000,buscar,12.3548,39976,60
Trie,100000,remover,18.1021,40976,60
Patricia,1000,inserir,1.86363,7083,10
Patricia,1000,buscar,1.39854,44203,10
Patricia,1000,remover,1.37615,44502,0
Splay,1000,inserir,0.735203,11427,28
Splay,1000,buscar,0.871839,14208,28
Splay,1000,remover,0.807769,14657,-1
Treap,1000,inserir,0.407145,11176,19
Treap,1000,buscar,0.335562,11294,19
Treap,1000,remover,0.585715,21058,-1
KDTree,1000,inserir,0.195301,11569,20
KDTree,1000,buscar,0.175592,11569,20
KDTree,1000,remover,0.935492,27206,-1
Patricia,10000,inserir,36.7674,116642,13
Patricia,10000,buscar,2.14573,45824,13
Patricia,10000,remover,3.80094,46759,12
Splay,10000,inserir,7.86994,162110,36
Splay,10000,buscar,0.948423,18920,34
Splay,10000,remover,1.51398,21423,34
Treap,10000,inserir,4.01547,170715,31
Treap,10000,buscar,0.271581,16660,31
Treap,10000,remover,0.564817,34071,30
KDTree,10000,inserir,4.33459,161445,32
KDTree,10000,buscar,0.178202,11569,32
KDTree,10000,remover,0.941913,44529,32
Patricia,100000,inserir,301.122,1632937,20
Patricia,100000,buscar,2.88796,47770,20
Patricia,100000,remover,3.89618,48756,20
Splay,100000,inserir,113.034,2105994,42
Splay,100000,buscar,1.25108,23913,40
Splay,100000,remover,1.14318,23650,41
Treap,100000,inserir,98.0025,2055176,37
Treap,100000,buscar,0.826836,20224,37
Treap,100000,remover,1.91628,41611,37
KDTree,100000,inserir,65.9428,2077978,42
KDTree,100000,buscar,0.213685,11569,42
KDTree,100000,remover,2.79269,72653,42
Patricia,1000000,inserir,5111.63,21096520,27
Patricia,1000000,buscar,3.7946,49881,27
Patricia,1000000,remover,3.76728,50875,27
Splay,1000000,inserir,2276.37,25877952,52
Splay,1000000,buscar,2.39103,28699,55
Splay,1000000,remover,3.37704,25707,57
Treap,1000000,inserir,1905.87,25442579,52
Treap,1000000,buscar,1.92335,25465,52
Treap,1000000,remover,2.27249,51847,52
KDTree,1000000,inserir,1204.2,25322192,56
KDTree,1000000,buscar,0.167482,11569,56
KDTree,1000000,remover,9.98134,140193,56
